# DDS,RB1A,RB2,RB3,RB4,RB1B,,RB1A',RB1B'
0.7386934673366834,0.7610784385606448,0.9312522394484101,0.7386934673366834,1.05,1.05,0.7386934673366834,0.7610784385606448,1.05
0.7437185929648241,0.7670038091436955,0.9334875156821744,0.7437185929648241,1.05,1.05,0.7437185929648241,0.7670038091436955,1.05
0.7487437185929648,0.7729291797267462,0.9357227919159387,0.7487437185929648,1.05,1.05,0.7487437185929648,0.7729291797267462,1.05
0.7537688442211056,0.778854550309797,0.937958068149703,0.7537688442211056,1.05,1.05,0.7537688442211056,0.778854550309797,1.05
0.7587939698492463,0.7847261843554092,0.9410676070064506,0.7587939698492463,1.05,1.05,0.7587939698492463,0.7847261843554092,1.05
0.7638190954773869,0.7905784135402796,0.9444928518103868,0.7638190954773869,1.05,1.05,0.7638190954773869,0.7905784135402796,1.05
0.7688442211055276,0.7964306427251501,0.9479180966143228,0.7688442211055276,1.05,1.05,0.7688442211055276,0.7964306427251501,1.05
0.7738693467336684,0.8022828719100206,0.9513433414182589,0.7738693467336684,1.05,1.05,0.7738693467336684,0.8022828719100206,1.05
0.7788944723618091,0.8081159775020014,0.9527875866661771,0.7788944723618091,1.05,1.05,0.7788944723618091,0.8081159775020014,1.05
0.7839195979899498,0.8139398110489448,0.9532713472808744,0.7839195979899498,1.05,1.05,0.7839195979899498,0.8139398110489448,1.05
0.7889447236180904,0.8197636445958879,0.9537551078955717,0.7889447236180904,1.05,1.05,0.7889447236180904,0.8197636445958879,1.05
0.7939698492462312,0.8255874781428313,0.9542388685102691,0.7939698492462312,1.05,1.05,0.7939698492462312,0.8255874781428313,1.05
0.7989949748743719,0.8307569842183224,0.9555810045586395,0.7989949748743719,1.05,1.05,0.7989949748743719,0.8307569842183224,1.05
0.8040201005025126,0.8355120828952274,0.9574667783816694,0.8040201005025126,1.05,1.05,0.8040201005025126,0.8355120828952274,1.05
0.8090452261306533,0.8402671815721322,0.9593525522046993,0.8090452261306533,1.05,1.05,0.8090452261306533,0.8402671815721322,1.05
0.8140703517587939,0.845022280249037,0.9612383260277292,0.8140703517587939,1.05,1.05,0.8140703517587939,0.845022280249037,1.05
0.8190954773869347,0.8505502448664871,0.9628614240875341,0.8190954773869347,1.05,1.05,0.8190954773869347,0.8505502448664871,1.05
